model,horizon_days,rows,train_rows,validation_rows,test_rows,feature_count,selected_alpha,best_iteration,model_test_rmse,model_test_mae,model_test_r2,model_test_direction_accuracy,zero_change_rmse,zero_change_mae,zero_change_r2,zero_change_direction_accuracy,previous_one_day_change_rmse,previous_one_day_change_mae,previous_one_day_change_r2,previous_one_day_change_direction_accuracy,market_expanding_mean_rmse,market_expanding_mean_mae,market_expanding_mean_r2,market_expanding_mean_direction_accuracy
ols,1,1150,920,0,230,30,,,0.043236001199774526,0.025820239243883148,-0.5345423538668506,0.4043478260869565,0.03495402259615013,0.01981521739130435,-0.002956655080156967,0.1565217391304348,0.04945721690863555,0.02969782608695652,-1.0079236116919268,0.40869565217391307,0.03529773069675184,0.020087089604264433,-0.02277807556060929,0.43478260869565216
ridgecv,1,1150,920,0,230,30,464.1588833612773,,0.03630573764366611,0.02124672035707388,-0.0820276756748568,0.39565217391304347,0.03495402259615013,0.01981521739130435,-0.002956655080156967,0.1565217391304348,0.04945721690863555,0.02969782608695652,-1.0079236116919268,0.40869565217391307,0.03529773069675184,0.020087089604264433,-0.02277807556060929,0.43478260869565216
xgb,1,1150,513,311,326,30,,94.0,0.03196206430095619,0.018000726931464164,-0.06974036683013374,0.38650306748466257,0.03092961532729559,0.0164079754601227,-0.0017463759184592753,0.2085889570552147,0.04396277357176978,0.025260736196319016,-1.0238527454359412,0.4049079754601227,0.031248378061033266,0.01679602047273522,-0.022500909964483506,0.4110429447852761
ols,3,1134,907,0,227,30,,,0.0802835355357878,0.04824553903634118,-0.9103476407046323,0.44052863436123346,0.05848657551454438,0.03525330396475772,-0.01384558379336287,0.07048458149779736,0.0640507353278262,0.04083039647577092,-0.21592746091950832,0.4008810572687225,0.05942868348720281,0.035754244348990855,-0.046770912181193,0.4713656387665198
ridgecv,3,1134,907,0,227,30,2.154434690031882,,0.07932599012506557,0.04777786339695266,-0.8650497882399748,0.44052863436123346,0.05848657551454438,0.03525330396475772,-0.01384558379336287,0.07048458149779736,0.0640507353278262,0.04083039647577092,-0.21592746091950832,0.4008810572687225,0.05942868348720281,0.035754244348990855,-0.046770912181193,0.4713656387665198
xgb,3,1134,499,302,333,30,,70.0,0.053135495016007304,0.030378850373523027,-0.09556570976021916,0.4894894894894895,0.05098069027367893,0.029025525525525526,-0.008510425224337537,0.11411411411411411,0.05664181357482336,0.0345,-0.24492523291759505,0.3843843843843844,0.05191473907035115,0.029726459179026367,-0.045804051806926926,0.4774774774774775
ols,7,1102,881,0,221,30,,,0.13076532057985277,0.0750618182088099,-1.1807207582445756,0.5294117647058824,0.09187520431226705,0.05641855203619909,-0.07649378719507705,0.02262443438914027,0.0984909785243234,0.059719457013574666,-0.23710851590346116,0.4072398190045249,0.09361188333185153,0.057986019565694887,-0.11757546120079487,0.416289592760181
ridgecv,7,1102,881,0,221,30,0.21544346900318823,,0.1304532433570906,0.07492736294899768,-1.1703244056094029,0.5294117647058824,0.09187520431226705,0.05641855203619909,-0.07649378719507705,0.02262443438914027,0.0984909785243234,0.059719457013574666,-0.23710851590346116,0.4072398190045249,0.09361188333185153,0.057986019565694887,-0.11757546120079487,0.416289592760181
xgb,7,1102,479,290,333,30,,182.0,0.09079140470693284,0.04874811044261267,-0.43668994472597844,0.46846846846846846,0.07725599484013353,0.0443018018018018,-0.04025056422600537,0.06606606606606606,0.08307050444477093,0.04789189189189189,-0.2027275985629986,0.3663663663663664,0.07917797306874079,0.04594010559840859,-0.09265319691235852,0.4804804804804805
